FFT_IP,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Team Code,Code,Name,Site Code,Site Name,Ward Name,Total Responses,Total Eligible,Response Rate,Friends and Family Test Score,Extremely Likely,Likely,Neither,Unlikely,Extremely Unlikely,Don't Know,First specialty,Second specialty
Q44,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,RJR05,Countess Of Chester Hospital - RJR05,Ambulatory Care Unit (ACU),0,193,0,NA,0,0,0,0,0,0,110 - TRAUMA & ORTHOPAEDICS,0
Q44,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,RJR05,Countess Of Chester Hospital - RJR05,CCU,0,21,0,NA,0,0,0,0,0,0,320 - CARDIOLOGY,0
Q44,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,RJR05,Countess Of Chester Hospital - RJR05,ICU,0,0,NA,NA,0,0,0,0,0,0,192 - CRITICAL CARE MEDICINE,0
Q44,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,RJR05,Countess Of Chester Hospital - RJR05,Ward 33,16,67,0.23880597,94,*,*,*,*,*,*,430 - GERIATRIC MEDICINE,0
Q44,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,RJR05,Countess Of Chester Hospital - RJR05,Ward 34,5,32,0.15625,100,*,*,*,*,*,*,430 - GERIATRIC MEDICINE,0
Q44,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,RJR05,Countess Of Chester Hospital - RJR05,Ward 41,74,103,0.718446602,81,62,10,1,0,1,0,100 - GENERAL SURGERY,0
Q44,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,RJR05,Countess Of Chester Hospital - RJR05,Ward 42,25,54,0.462962963,86,20,1,1,0,0,3,320 - CARDIOLOGY,0
Q44,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,RJR05,Countess Of Chester Hospital - RJR05,Ward 43,0,42,0,NA,0,0,0,0,0,0,430 - GERIATRIC MEDICINE,320 - CARDIOLOGY
Q44,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,RJR05,Countess Of Chester Hospital - RJR05,Ward 44,0,130,0,NA,0,0,0,0,0,0,100 - GENERAL SURGERY,0
Q44,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,RJR05,Countess Of Chester Hospital - RJR05,Ward 45,45,117,0.384615385,59,27,16,0,1,0,1,101 - UROLOGY,110 - TRAUMA & ORTHOPAEDICS
Q44,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,RJR05,Countess Of Chester Hospital - RJR05,Ward 49,30,85,0.352941176,100,27,0,0,0,0,3,301 - GASTROENTEROLOGY,0
Q44,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,RJR05,Countess Of Chester Hospital - RJR05,Ward 50,18,67,0.268656716,94,17,1,0,0,0,0,823 - HAEMATOLOGY,340 - RESPIRATORY MEDICINE
