Hourly measurement data supplied by UK-air on 25/7/2014
 All Data are GMT hour ending
Status: R=Ratified P=Provisional A=As supplied V=Validated S=Suspect
,,London Bexley,,,,,,,,,,,,,,,,,,,,
Date,time,"Modelled Wind Direction",status/unit,"Modelled Wind Speed",status/unit,"Modelled Temperature",status/unit,"Nitric oxide",status/unit,"Nitrogen dioxide",status/unit,"Nitrogen oxides as nitrogen dioxide",status/unit,"Non-volatile PM2.5 (Hourly measured)",status/unit,"PM2.5 particulate matter (Hourly measured)",status/unit,"Sulphur dioxide",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit

01-01-2014,01:00,219.3,P deg,9.3,P ms-1,6.9,P degC,1,R ugm-3,5,R ugm-3,6,R ugm-3,6,R ugm-3 (TEOM FDMS),10,R ugm-3 (TEOM FDMS),5,P ugm-3,4,R ugm-3 (TEOM FDMS)
01-01-2014,02:00,220.3,P deg,9.1,P ms-1,7.2,P degC,1,R ugm-3,5,R ugm-3,7,R ugm-3,2,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),2,P ugm-3,1,R ugm-3 (TEOM FDMS)
01-01-2014,03:00,221.8,P deg,9.1,P ms-1,8.0,P degC,0,R ugm-3,5,R ugm-3,6,R ugm-3,3,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),3,P ugm-3,1,R ugm-3 (TEOM FDMS)
01-01-2014,04:00,219.8,P deg,8.9,P ms-1,8.3,P degC,0,R ugm-3,5,R ugm-3,5,R ugm-3,3,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS),7,P ugm-3,3,R ugm-3 (TEOM FDMS)
01-01-2014,05:00,218.5,P deg,8.9,P ms-1,8.4,P degC,0,R ugm-3,4,R ugm-3,4,R ugm-3,3,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS),3,P ugm-3,2,R ugm-3 (TEOM FDMS)
01-01-2014,06:00,213.2,P deg,8.8,P ms-1,8.4,P degC,4,R ugm-3,6,R ugm-3,12,R ugm-3,3,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS),3,P ugm-3,2,R ugm-3 (TEOM FDMS)
01-01-2014,07:00,206.9,P deg,9.0,P ms-1,8.1,P degC,5,R ugm-3,7,R ugm-3,15,R ugm-3,4,R ugm-3 (TEOM FDMS),7,R ugm-3 (TEOM FDMS),3,P ugm-3,3,R ugm-3 (TEOM FDMS)
01-01-2014,08:00,202.2,P deg,9.2,P ms-1,8.2,P degC,3,R ugm-3,6,R ugm-3,10,R ugm-3,4,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS),4,P ugm-3,2,R ugm-3 (TEOM FDMS)
01-01-2014,09:00,197.1,P deg,10.2,P ms-1,8.3,P degC,2,R ugm-3,5,R ugm-3,9,R ugm-3,4,R ugm-3 (TEOM FDMS),8,R ugm-3 (TEOM FDMS),4,P ugm-3,4,R ugm-3 (TEOM FDMS)
01-01-2014,10:00,191.2,P deg,10.9,P ms-1,8.6,P degC,2,R ugm-3,4,R ugm-3,7,R ugm-3,4,R ugm-3 (TEOM FDMS),7,R ugm-3 (TEOM FDMS),4,P ugm-3,3,R ugm-3 (TEOM FDMS)
01-01-2014,11:00,189.9,P deg,12.3,P ms-1,8.7,P degC,2,R ugm-3,5,R ugm-3,8,R ugm-3,3,R ugm-3 (TEOM FDMS),7,R ugm-3 (TEOM FDMS),4,P ugm-3,4,R ugm-3 (TEOM FDMS)
01-01-2014,12:00,187.2,P deg,13.8,P ms-1,8.6,P degC,2,R ugm-3,5,R ugm-3,7,R ugm-3,-4,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),6,P ugm-3,7,R ugm-3 (TEOM FDMS)
01-01-2014,13:00,187.7,P deg,15.0,P ms-1,8.7,P degC,2,R ugm-3,4,R ugm-3,7,R ugm-3,-1,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),7,P ugm-3,4,R ugm-3 (TEOM FDMS)
01-01-2014,14:00,193.0,P deg,15.4,P ms-1,9.1,P degC,2,R ugm-3,6,R ugm-3,9,R ugm-3,-0,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS),7,P ugm-3,1,R ugm-3 (TEOM FDMS)
01-01-2014,15:00,197.4,P deg,15.8,P ms-1,9.5,P degC,2,R ugm-3,6,R ugm-3,9,R ugm-3,2,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS),6,P ugm-3,2,R ugm-3 (TEOM FDMS)
01-01-2014,16:00,202.2,P deg,15.4,P ms-1,9.7,P degC,2,R ugm-3,6,R ugm-3,9,R ugm-3,1,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),9,P ugm-3,1,R ugm-3 (TEOM FDMS)
01-01-2014,17:00,206.4,P deg,14.7,P ms-1,9.9,P degC,1,R ugm-3,5,R ugm-3,7,R ugm-3,1,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),9,P ugm-3,2,R ugm-3 (TEOM FDMS)
01-01-2014,18:00,209.2,P deg,13.7,P ms-1,10.1,P degC,1,R ugm-3,5,R ugm-3,7,R ugm-3,1,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),9,P ugm-3,2,R ugm-3 (TEOM FDMS)
01-01-2014,19:00,211.9,P deg,12.7,P ms-1,10.6,P degC,2,R ugm-3,5,R ugm-3,8,R ugm-3,4,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS),9,P ugm-3,0,R ugm-3 (TEOM FDMS)
01-01-2014,20:00,213.0,P deg,12.2,P ms-1,10.9,P degC,1,R ugm-3,4,R ugm-3,5,R ugm-3,1,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS),10,P ugm-3,3,R ugm-3 (TEOM FDMS)
01-01-2014,21:00,216.2,P deg,11.6,P ms-1,11.1,P degC,1,R ugm-3,4,R ugm-3,4,R ugm-3,3,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),9,P ugm-3,0,R ugm-3 (TEOM FDMS)
01-01-2014,22:00,219.5,P deg,11.2,P ms-1,11.0,P degC,0,R ugm-3,4,R ugm-3,5,R ugm-3,2,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS),9,P ugm-3,3,R ugm-3 (TEOM FDMS)
