15 Minutes measurement data supplied by UK-air on 25/7/2014
 All Data are GMT hour ending
Status: R=Ratified P=Provisional A=As supplied V=Validated S=Suspect
,,London Bloomsbury,,
Date,time,"Sulphur dioxide",status/unit

01-01-2014,00:15,0.000000,R ugm-3
01-01-2014,00:30,0.000000,R ugm-3
01-01-2014,00:45,0,R ugm-3
01-01-2014,01:00,, 
01-01-2014,01:15,, 
01-01-2014,01:30,-1,R ugm-3
01-01-2014,01:45,-0,R ugm-3
01-01-2014,02:00,-0,R ugm-3
01-01-2014,02:15,-0,R ugm-3
01-01-2014,02:30,0.000000,R ugm-3
01-01-2014,02:45,0.000000,R ugm-3
01-01-2014,03:00,0,R ugm-3
01-01-2014,03:15,0,R ugm-3
01-01-2014,03:30,0.000000,R ugm-3
01-01-2014,03:45,0.000000,R ugm-3
01-01-2014,04:00,0,R ugm-3
01-01-2014,04:15,0.000000,R ugm-3
01-01-2014,04:30,-0,R ugm-3
01-01-2014,04:45,0.000000,R ugm-3
01-01-2014,05:00,0.000000,R ugm-3
01-01-2014,05:15,0,R ugm-3
01-01-2014,05:30,1,R ugm-3
01-01-2014,05:45,0,R ugm-3
01-01-2014,06:00,1,R ugm-3
01-01-2014,06:15,1,R ugm-3
01-01-2014,06:30,1,R ugm-3
01-01-2014,06:45,1,R ugm-3
01-01-2014,07:00,0,R ugm-3
01-01-2014,07:15,1,R ugm-3
01-01-2014,07:30,1,R ugm-3
01-01-2014,07:45,1,R ugm-3
01-01-2014,08:00,1,R ugm-3
01-01-2014,08:15,1,R ugm-3
01-01-2014,08:30,1,R ugm-3
01-01-2014,08:45,1,R ugm-3
01-01-2014,09:00,0.000000,R ugm-3
01-01-2014,09:15,-0,R ugm-3
01-01-2014,09:30,0.000000,R ugm-3
01-01-2014,09:45,0,R ugm-3
01-01-2014,10:00,1,R ugm-3
01-01-2014,10:15,1,R ugm-3
01-01-2014,10:30,1,R ugm-3
01-01-2014,10:45,1,R ugm-3
01-01-2014,11:00,1,R ugm-3
01-01-2014,11:15,1,R ugm-3
01-01-2014,11:30,2,R ugm-3
01-01-2014,11:45,2,R ugm-3
01-01-2014,12:00,2,R ugm-3
01-01-2014,12:15,2,R ugm-3
01-01-2014,12:30,2,R ugm-3
01-01-2014,12:45,2,R ugm-3
01-01-2014,13:00,2,R ugm-3
01-01-2014,13:15,2,R ugm-3
01-01-2014,13:30,2,R ugm-3
01-01-2014,13:45,2,R ugm-3
01-01-2014,14:00,3,R ugm-3
01-01-2014,14:15,2,R ugm-3
01-01-2014,14:30,2,R ugm-3
01-01-2014,14:45,2,R ugm-3
01-01-2014,15:00,2,R ugm-3
01-01-2014,15:15,2,R ugm-3
01-01-2014,15:30,2,R ugm-3
01-01-2014,15:45,2,R ugm-3
01-01-2014,16:00,3,R ugm-3
01-01-2014,16:15,2,R ugm-3
01-01-2014,16:30,2,R ugm-3
01-01-2014,16:45,2,R ugm-3
01-01-2014,17:00,3,R ugm-3
01-01-2014,17:15,3,R ugm-3
01-01-2014,17:30,3,R ugm-3
01-01-2014,17:45,3,R ugm-3
01-01-2014,18:00,3,R ugm-3
01-01-2014,18:15,3,R ugm-3
01-01-2014,18:30,3,R ugm-3
01-01-2014,18:45,3,R ugm-3
01-01-2014,19:00,3,R ugm-3
01-01-2014,19:15,3,R ugm-3
01-01-2014,19:30,3,R ugm-3
01-01-2014,19:45,3,R ugm-3
01-01-2014,20:00,3,R ugm-3
01-01-2014,20:15,3,R ugm-3
01-01-2014,20:30,3,R ugm-3
01-01-2014,20:45,3,R ugm-3
01-01-2014,21:00,3,R ugm-3
01-01-2014,21:15,3,R ugm-3
01-01-2014,21:30,4,R ugm-3
01-01-2014,21:45,4,R ugm-3
01-01-2014,22:00,3,R ugm-3
01-01-2014,22:15,3,R ugm-3
01-01-2014,22:30,3,R ugm-3
01-01-2014,22:45,3,R ugm-3
01-01-2014,23:00,3,R ugm-3
01-01-2014,23:15,3,R ugm-3
01-01-2014,23:30,3,R ugm-3
01-01-2014,23:45,3,R ugm-3
01-01-2014,24:00,3,R ugm-3
02-01-2014,00:15,4,R ugm-3
02-01-2014,00:30,4,R ugm-3
02-01-2014,00:45,3,R ugm-3
02-01-2014,01:00,, 
02-01-2014,01:15,, 
02-01-2014,01:30,3,R ugm-3
02-01-2014,01:45,3,R ugm-3
02-01-2014,02:00,3,R ugm-3
02-01-2014,02:15,3,R ugm-3
02-01-2014,02:30,4,R ugm-3
02-01-2014,02:45,3,R ugm-3
02-01-2014,03:00,3,R ugm-3
02-01-2014,03:15,3,R ugm-3
02-01-2014,03:30,3,R ugm-3
02-01-2014,03:45,2,R ugm-3
02-01-2014,04:00,3,R ugm-3
02-01-2014,04:15,3,R ugm-3
02-01-2014,04:30,3,R ugm-3
02-01-2014,04:45,2,R ugm-3
02-01-2014,05:00,3,R ugm-3
02-01-2014,05:15,2,R ugm-3
02-01-2014,05:30,2,R ugm-3
02-01-2014,05:45,3,R ugm-3
02-01-2014,06:00,3,R ugm-3
02-01-2014,06:15,2,R ugm-3
02-01-2014,06:30,2,R ugm-3
02-01-2014,06:45,2,R ugm-3
02-01-2014,07:00,2,R ugm-3
02-01-2014,07:15,3,R ugm-3
02-01-2014,07:30,2,R ugm-3
02-01-2014,07:45,2,R ugm-3
02-01-2014,08:00,2,R ugm-3
02-01-2014,08:15,2,R ugm-3
02-01-2014,08:30,2,R ugm-3
02-01-2014,08:45,2,R ugm-3
02-01-2014,09:00,2,R ugm-3
02-01-2014,09:15,2,R ugm-3
02-01-2014,09:30,2,R ugm-3
02-01-2014,09:45,2,R ugm-3
02-01-2014,10:00,2,R ugm-3
02-01-2014,10:15,2,R ugm-3
02-01-2014,10:30,2,R ugm-3
02-01-2014,10:45,1,R ugm-3
02-01-2014,11:00,2,R ugm-3
02-01-2014,11:15,1,R ugm-3
02-01-2014,11:30,2,R ugm-3
02-01-2014,11:45,1,R ugm-3
02-01-2014,12:00,2,R ugm-3
02-01-2014,12:15,2,R ugm-3
02-01-2014,12:30,2,R ugm-3
02-01-2014,12:45,1,R ugm-3
02-01-2014,13:00,2,R ugm-3
02-01-2014,13:15,2,R ugm-3
02-01-2014,13:30,2,R ugm-3
02-01-2014,13:45,1,R ugm-3
02-01-2014,14:00,1,R ugm-3
02-01-2014,14:15,1,R ugm-3
02-01-2014,14:30,2,R ugm-3
02-01-2014,14:45,3,R ugm-3
02-01-2014,15:00,2,R ugm-3
