Hourly measurement data supplied by UK-air on 25/7/2014
 All Data are GMT hour ending
Status: R=Ratified P=Provisional A=As supplied V=Validated S=Suspect
,,Camden Kerbside,,,,,,,,,,,,,,,,,,,,London Bloomsbury,,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM10 particulate matter (Hourly measured)",status/unit,"Modelled Wind Direction",status/unit,"Modelled Wind Speed",status/unit,"Modelled Temperature",status/unit,"Nitric oxide",status/unit,"Nitrogen dioxide",status/unit,"Nitrogen oxides as nitrogen dioxide",status/unit,"Non-volatile PM2.5 (Hourly measured)",status/unit,"PM2.5 particulate matter (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"PM10 particulate matter (Hourly measured)",status/unit,"Modelled Wind Direction",status/unit,"Modelled Wind Speed",status/unit,"Modelled Temperature",status/unit,"Nitric oxide",status/unit,"Nitrogen dioxide",status/unit,"Nitrogen oxides as nitrogen dioxide",status/unit,"Non-volatile PM2.5 (Hourly measured)",status/unit,"Ozone",status/unit,"PM2.5 particulate matter (Hourly measured)",status/unit,"Sulphur dioxide",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit

01-01-2014,01:00,13,R ugm-3 (TEOM FDMS),213.6,P deg,6.7,P ms-1,7.3,P degC,7,R ugm-3,24,R ugm-3,35,R ugm-3,7,R ugm-3 (TEOM FDMS),9,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),9,R ugm-3 (TEOM FDMS),217.1,P deg,6.8,P ms-1,7.3,P degC,1,R ugm-3,17,R ugm-3,18,R ugm-3,6,R ugm-3 (TEOM FDMS),61,R ugm-3,7,R ugm-3 (TEOM FDMS),0,R ugm-3,1,R ugm-3 (TEOM FDMS)
01-01-2014,02:00,7,R ugm-3 (TEOM FDMS),216.6,P deg,6.6,P ms-1,8.2,P degC,12,R ugm-3,38,R ugm-3,56,R ugm-3,3,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),7,R ugm-3 (TEOM FDMS),219.5,P deg,6.9,P ms-1,8.2,P degC,1,R ugm-3,24,R ugm-3,26,R ugm-3,5,R ugm-3 (TEOM FDMS),55,R ugm-3,5,R ugm-3 (TEOM FDMS),-0,R ugm-3,-0,R ugm-3 (TEOM FDMS)
01-01-2014,03:00,6,R ugm-3 (TEOM FDMS),220.0,P deg,6.3,P ms-1,8.7,P degC,15,R ugm-3,40,R ugm-3,63,R ugm-3,3,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS),9,R ugm-3 (TEOM FDMS),223.0,P deg,6.7,P ms-1,8.8,P degC,1,R ugm-3,25,R ugm-3,27,R ugm-3,4,R ugm-3 (TEOM FDMS),52,R ugm-3,6,R ugm-3 (TEOM FDMS),0.000000,R ugm-3,2,R ugm-3 (TEOM FDMS)
01-01-2014,04:00,11,R ugm-3 (TEOM FDMS),219.2,P deg,6.0,P ms-1,8.7,P degC,16,R ugm-3,43,R ugm-3,68,R ugm-3,4,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),10,R ugm-3 (TEOM FDMS),221.8,P deg,6.3,P ms-1,8.9,P degC,1,R ugm-3,28,R ugm-3,30,R ugm-3,3,R ugm-3 (TEOM FDMS),48,R ugm-3,6,R ugm-3 (TEOM FDMS),0,R ugm-3,3,R ugm-3 (TEOM FDMS)
01-01-2014,05:00,13,R ugm-3 (TEOM FDMS),216.5,P deg,6.0,P ms-1,8.8,P degC,12,R ugm-3,34,R ugm-3,52,R ugm-3,3,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),14,R ugm-3 (TEOM FDMS),218.8,P deg,6.2,P ms-1,9.0,P degC,1,R ugm-3,29,R ugm-3,31,R ugm-3,4,R ugm-3 (TEOM FDMS),46,R ugm-3,7,R ugm-3 (TEOM FDMS),-0,R ugm-3,3,R ugm-3 (TEOM FDMS)
01-01-2014,06:00,9,R ugm-3 (TEOM FDMS),209.1,P deg,6.2,P ms-1,8.9,P degC,6,R ugm-3,26,R ugm-3,35,R ugm-3,3,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),17,R ugm-3 (TEOM FDMS),211.4,P deg,6.2,P ms-1,9.0,P degC,1,R ugm-3,24,R ugm-3,26,R ugm-3,4,R ugm-3 (TEOM FDMS),51,R ugm-3,5,R ugm-3 (TEOM FDMS),0,R ugm-3,1,R ugm-3 (TEOM FDMS)
01-01-2014,07:00,11,R ugm-3 (TEOM FDMS),201.9,P deg,6.4,P ms-1,8.9,P degC,8,R ugm-3,23,R ugm-3,36,R ugm-3,3,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),15,R ugm-3 (TEOM FDMS),204.5,P deg,6.3,P ms-1,9.0,P degC,1,R ugm-3,24,R ugm-3,26,R ugm-3,4,R ugm-3 (TEOM FDMS),49,R ugm-3,5,R ugm-3 (TEOM FDMS),0,R ugm-3,1,R ugm-3 (TEOM FDMS)
01-01-2014,08:00,11,R ugm-3 (TEOM FDMS),199.4,P deg,6.8,P ms-1,8.9,P degC,8,R ugm-3,28,R ugm-3,40,R ugm-3,4,R ugm-3 (TEOM FDMS),7,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),18,R ugm-3 (TEOM FDMS),200.8,P deg,6.5,P ms-1,9.0,P degC,2,R ugm-3,27,R ugm-3,30,R ugm-3,7,R ugm-3 (TEOM FDMS),46,R ugm-3,9,R ugm-3 (TEOM FDMS),1,R ugm-3,2,R ugm-3 (TEOM FDMS)
01-01-2014,09:00,13,R ugm-3 (TEOM FDMS),194.6,P deg,7.2,P ms-1,8.9,P degC,8,R ugm-3,25,R ugm-3,37,R ugm-3,4,R ugm-3 (TEOM FDMS),7,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),18,R ugm-3 (TEOM FDMS),195.9,P deg,7.0,P ms-1,9.0,P degC,1,R ugm-3,21,R ugm-3,24,R ugm-3,4,R ugm-3 (TEOM FDMS),54,R ugm-3,5,R ugm-3 (TEOM FDMS),1,R ugm-3,1,R ugm-3 (TEOM FDMS)
