Hourly measurement data supplied by UK-air on 25/7/2014
 All Data are GMT hour ending
Status: R=Ratified P=Provisional A=As supplied V=Validated S=Suspect
,,London Eltham,,,,,,,,,,,,,,,,,,,,
Date,time,"Modelled Wind Direction",status/unit,"Modelled Wind Speed",status/unit,"Modelled Temperature",status/unit,"Nitric oxide",status/unit,"Nitrogen dioxide",status/unit,"Nitrogen oxides as nitrogen dioxide",status/unit,"Non-volatile PM2.5 (Hourly measured)",status/unit,"Ozone",status/unit,"PM2.5 particulate matter (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit

01-01-2014,01:00,218.9,P deg,7.5,P ms-1,7.4,P degC,2,R ugm-3,5,R ugm-3,7,R ugm-3,-0,R ugm-3 (TEOM FDMS),71,R ugm-3,5,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS)
01-01-2014,02:00,220.4,P deg,7.3,P ms-1,7.8,P degC,2,R ugm-3,6,R ugm-3,8,R ugm-3,1,R ugm-3 (TEOM FDMS),72,R ugm-3,3,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
01-01-2014,03:00,222.2,P deg,7.1,P ms-1,8.6,P degC,2,R ugm-3,5,R ugm-3,8,R ugm-3,2,R ugm-3 (TEOM FDMS),70,R ugm-3,2,R ugm-3 (TEOM FDMS),-0,R ugm-3 (TEOM FDMS)
01-01-2014,04:00,220.6,P deg,6.9,P ms-1,8.8,P degC,1,R ugm-3,5,R ugm-3,6,R ugm-3,1,R ugm-3 (TEOM FDMS),63,R ugm-3,3,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
01-01-2014,05:00,218.3,P deg,6.9,P ms-1,8.9,P degC,1,R ugm-3,3,R ugm-3,5,R ugm-3,2,R ugm-3 (TEOM FDMS),67,R ugm-3,4,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
01-01-2014,06:00,212.5,P deg,6.9,P ms-1,8.9,P degC,1,R ugm-3,2,R ugm-3,4,R ugm-3,2,R ugm-3 (TEOM FDMS),66,R ugm-3,5,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
01-01-2014,07:00,205.9,P deg,7.2,P ms-1,8.8,P degC,1,R ugm-3,3,R ugm-3,5,R ugm-3,1,R ugm-3 (TEOM FDMS),63,R ugm-3,4,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
01-01-2014,08:00,202.1,P deg,7.6,P ms-1,8.8,P degC,2,R ugm-3,3,R ugm-3,6,R ugm-3,5,R ugm-3 (TEOM FDMS),63,R ugm-3,9,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
01-01-2014,09:00,196.5,P deg,8.2,P ms-1,8.7,P degC,1,R ugm-3,4,R ugm-3,5,R ugm-3,4,R ugm-3 (TEOM FDMS),66,R ugm-3,7,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
01-01-2014,10:00,190.8,P deg,8.9,P ms-1,9.1,P degC,2,R ugm-3,3,R ugm-3,5,R ugm-3,3,R ugm-3 (TEOM FDMS),69,R ugm-3,6,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
01-01-2014,11:00,189.2,P deg,10.3,P ms-1,9.2,P degC,1,R ugm-3,3,R ugm-3,5,R ugm-3,1,R ugm-3 (TEOM FDMS),75,R ugm-3,6,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS)
