Hourly measurement data supplied by UK-air on 25/7/2014
 All Data are GMT hour ending
Status: R=Ratified P=Provisional A=As supplied V=Validated S=Suspect
,,Haringey Roadside,,,,,,,,,,,,,,,,,,,,London Haringey Priory Park South,,,,,,,,,,,,,,
Date,time,"PM10 particulate matter (Hourly measured)",status/unit,"Modelled Wind Direction",status/unit,"Modelled Wind Speed",status/unit,"Modelled Temperature",status/unit,"Nitric oxide",status/unit,"Nitrogen dioxide",status/unit,"Nitrogen oxides as nitrogen dioxide",status/unit,"Non-volatile PM2.5 (Hourly measured)",status/unit,"PM2.5 particulate matter (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Modelled Wind Direction",status/unit,"Modelled Wind Speed",status/unit,"Modelled Temperature",status/unit,"Nitric oxide",status/unit,"Nitrogen dioxide",status/unit,"Nitrogen oxides as nitrogen dioxide",status/unit,"Ozone",status/unit

01-01-2014,01:00,69,R ugm-3 (TEOM FDMS),215.1,P deg,6.7,P ms-1,6.9,P degC,16,R ugm-3,35,R ugm-3,60,R ugm-3,57,R ugm-3 (TEOM FDMS),59,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),215.1,P deg,6.7,P ms-1,6.9,P degC,, ,, ,, ,63,R ugm-3
01-01-2014,02:00,10,R ugm-3 (TEOM FDMS),218.7,P deg,6.9,P ms-1,8.1,P degC,21,R ugm-3,47,R ugm-3,79,R ugm-3,3,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),218.7,P deg,6.9,P ms-1,8.1,P degC,1,R ugm-3,22,R ugm-3,23,R ugm-3,63,R ugm-3
01-01-2014,03:00,11,R ugm-3 (TEOM FDMS),222.4,P deg,6.7,P ms-1,8.6,P degC,22,R ugm-3,53,R ugm-3,86,R ugm-3,3,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS),222.4,P deg,6.7,P ms-1,8.6,P degC,1,R ugm-3,25,R ugm-3,26,R ugm-3,55,R ugm-3
01-01-2014,04:00,15,R ugm-3 (TEOM FDMS),221.6,P deg,6.3,P ms-1,8.7,P degC,14,R ugm-3,45,R ugm-3,67,R ugm-3,4,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS),221.6,P deg,6.3,P ms-1,8.7,P degC,1,R ugm-3,26,R ugm-3,27,R ugm-3,51,R ugm-3
01-01-2014,05:00,14,R ugm-3 (TEOM FDMS),219.0,P deg,6.0,P ms-1,8.7,P degC,22,R ugm-3,49,R ugm-3,83,R ugm-3,5,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),219.0,P deg,6.0,P ms-1,8.7,P degC,1,R ugm-3,28,R ugm-3,30,R ugm-3,46,R ugm-3
01-01-2014,06:00,21,R ugm-3 (TEOM FDMS),210.6,P deg,6.0,P ms-1,8.8,P degC,13,R ugm-3,38,R ugm-3,58,R ugm-3,4,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),210.6,P deg,6.0,P ms-1,8.8,P degC,1,R ugm-3,20,R ugm-3,21,R ugm-3,54,R ugm-3
01-01-2014,07:00,17,R ugm-3 (TEOM FDMS),202.9,P deg,6.3,P ms-1,8.9,P degC,14,R ugm-3,35,R ugm-3,57,R ugm-3,5,R ugm-3 (TEOM FDMS),7,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),202.9,P deg,6.3,P ms-1,8.9,P degC,2,R ugm-3,21,R ugm-3,23,R ugm-3,53,R ugm-3
01-01-2014,08:00,20,R ugm-3 (TEOM FDMS),198.5,P deg,6.3,P ms-1,8.8,P degC,17,R ugm-3,36,R ugm-3,63,R ugm-3,6,R ugm-3 (TEOM FDMS),9,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS),198.5,P deg,6.3,P ms-1,8.8,P degC,2,R ugm-3,23,R ugm-3,25,R ugm-3,50,R ugm-3
01-01-2014,09:00,22,R ugm-3 (TEOM FDMS),194.6,P deg,7.1,P ms-1,8.9,P degC,17,R ugm-3,30,R ugm-3,56,R ugm-3,4,R ugm-3 (TEOM FDMS),7,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),194.6,P deg,7.1,P ms-1,8.9,P degC,1,R ugm-3,16,R ugm-3,18,R ugm-3,58,R ugm-3
01-01-2014,10:00,18,R ugm-3 (TEOM FDMS),189.0,P deg,7.5,P ms-1,9.1,P degC,15,R ugm-3,23,R ugm-3,46,R ugm-3,4,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),189.0,P deg,7.5,P ms-1,9.1,P degC,1,R ugm-3,15,R ugm-3,16,R ugm-3,63,R ugm-3
01-01-2014,11:00,12,R ugm-3 (TEOM FDMS),187.0,P deg,8.8,P ms-1,9.2,P degC,13,R ugm-3,20,R ugm-3,39,R ugm-3,1,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS),187.0,P deg,8.8,P ms-1,9.2,P degC,1,R ugm-3,12,R ugm-3,13,R ugm-3,70,R ugm-3
01-01-2014,12:00,5,R ugm-3 (TEOM FDMS),184.9,P deg,9.8,P ms-1,9.1,P degC,15,R ugm-3,20,R ugm-3,42,R ugm-3,-3,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS),184.9,P deg,9.8,P ms-1,9.1,P degC,1,R ugm-3,10,R ugm-3,11,R ugm-3,75,R ugm-3
01-01-2014,13:00,6,R ugm-3 (TEOM FDMS),187.3,P deg,10.2,P ms-1,9.3,P degC,16,R ugm-3,19,R ugm-3,45,R ugm-3,0,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS),187.3,P deg,10.2,P ms-1,9.3,P degC,1,R ugm-3,12,R ugm-3,13,R ugm-3,68,R ugm-3
01-01-2014,14:00,3,R ugm-3 (TEOM FDMS),194.1,P deg,10.5,P ms-1,9.8,P degC,21,R ugm-3,28,R ugm-3,60,R ugm-3,0,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),194.1,P deg,10.5,P ms-1,9.8,P degC,1,R ugm-3,16,R ugm-3,18,R ugm-3,62,R ugm-3
01-01-2014,15:00,4,R ugm-3 (TEOM FDMS),199.6,P deg,10.3,P ms-1,10.1,P degC,17,R ugm-3,29,R ugm-3,55,R ugm-3,1,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),199.6,P deg,10.3,P ms-1,10.1,P degC,1,R ugm-3,19,R ugm-3,21,R ugm-3,58,R ugm-3
01-01-2014,16:00,4,R ugm-3 (TEOM FDMS),204.5,P deg,9.9,P ms-1,10.4,P degC,18,R ugm-3,32,R ugm-3,60,R ugm-3,1,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),204.5,P deg,9.9,P ms-1,10.4,P degC,1,R ugm-3,15,R ugm-3,17,R ugm-3,60,R ugm-3
