Hourly measurement data supplied by UK-air on 25/7/2014
 All Data are GMT hour ending
Status: R=Ratified P=Provisional A=As supplied V=Validated S=Suspect
,,London Harrow Stanmore,,,,,,,,,,,,
Date,time,"Modelled Wind Direction",status/unit,"Modelled Wind Speed",status/unit,"Modelled Temperature",status/unit,"Non-volatile PM2.5 (Hourly measured)",status/unit,"PM2.5 particulate matter (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit

01-01-2014,01:00,209.8,P deg,6.8,P ms-1,6.9,P degC,18,R ugm-3 (TEOM FDMS),19,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
01-01-2014,02:00,213.6,P deg,6.9,P ms-1,7.7,P degC,5,R ugm-3 (TEOM FDMS),7,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
01-01-2014,03:00,216.5,P deg,6.5,P ms-1,8.4,P degC,2,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS)
01-01-2014,04:00,215.8,P deg,6.1,P ms-1,8.5,P degC,4,R ugm-3 (TEOM FDMS),8,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
01-01-2014,05:00,214.3,P deg,5.9,P ms-1,8.6,P degC,4,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
01-01-2014,06:00,206.9,P deg,6.1,P ms-1,8.7,P degC,3,R ugm-3 (TEOM FDMS),7,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
01-01-2014,07:00,199.3,P deg,6.4,P ms-1,8.8,P degC,1,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
01-01-2014,08:00,196.7,P deg,6.7,P ms-1,8.7,P degC,4,R ugm-3 (TEOM FDMS),7,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
01-01-2014,09:00,193.1,P deg,7.4,P ms-1,8.8,P degC,4,R ugm-3 (TEOM FDMS),7,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
01-01-2014,10:00,188.0,P deg,7.8,P ms-1,8.9,P degC,3,R ugm-3 (TEOM FDMS),7,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
01-01-2014,11:00,186.5,P deg,9.1,P ms-1,9.0,P degC,-1,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS)
01-01-2014,12:00,184.9,P deg,10.1,P ms-1,9.0,P degC,-2,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS),7,R ugm-3 (TEOM FDMS)
01-01-2014,13:00,187.7,P deg,10.5,P ms-1,9.3,P degC,-2,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS)
01-01-2014,14:00,192.9,P deg,10.8,P ms-1,9.7,P degC,-0,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS)
01-01-2014,15:00,197.7,P deg,10.5,P ms-1,10.0,P degC,2,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
01-01-2014,16:00,201.2,P deg,10.0,P ms-1,10.4,P degC,-0,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
