Hourly measurement data supplied by UK-air on 25/7/2014
 All Data are GMT hour ending
Status: R=Ratified P=Provisional A=As supplied V=Validated S=Suspect
,,London Hillingdon,,,,,,,,,,,,,,London Harlington,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Modelled Wind Direction",status/unit,"Modelled Wind Speed",status/unit,"Modelled Temperature",status/unit,"Nitric oxide",status/unit,"Nitrogen dioxide",status/unit,"Nitrogen oxides as nitrogen dioxide",status/unit,"Ozone",status/unit,"PM10 particulate matter (Hourly measured)",status/unit,"Modelled Wind Direction",status/unit,"Modelled Wind Speed",status/unit,"Modelled Temperature",status/unit,"Nitric oxide",status/unit,"Nitrogen dioxide",status/unit,"Nitrogen oxides as nitrogen dioxide",status/unit,"Non-volatile PM2.5 (Hourly measured)",status/unit,"Ozone",status/unit,"PM2.5 particulate matter (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit

01-01-2014,01:00,212.8,P deg,10.0,P ms-1,7.1,P degC,6,R ugm-3,20,R ugm-3,28,R ugm-3,59,R ugm-3,, ,212.8,P deg,10.0,P ms-1,7.1,P degC,1,R ugm-3,5,R ugm-3,6,R ugm-3,2,R ugm-3 (TEOM FDMS),78,R ugm-3,7,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS)
01-01-2014,02:00,215.7,P deg,9.6,P ms-1,7.6,P degC,9,R ugm-3,32,R ugm-3,47,R ugm-3,56,R ugm-3,, ,215.7,P deg,9.6,P ms-1,7.6,P degC,0,R ugm-3,5,R ugm-3,5,R ugm-3,4,R ugm-3 (TEOM FDMS),81,R ugm-3,2,R ugm-3 (TEOM FDMS),-1,R ugm-3 (TEOM FDMS)
01-01-2014,03:00,218.8,P deg,9.2,P ms-1,8.0,P degC,11,R ugm-3,38,R ugm-3,55,R ugm-3,46,R ugm-3,, ,218.8,P deg,9.2,P ms-1,8.0,P degC,1,R ugm-3,12,R ugm-3,13,R ugm-3,1,R ugm-3 (TEOM FDMS),70,R ugm-3,3,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
01-01-2014,04:00,218.6,P deg,8.7,P ms-1,8.2,P degC,17,R ugm-3,54,R ugm-3,81,R ugm-3,28,R ugm-3,, ,218.6,P deg,8.7,P ms-1,8.2,P degC,1,R ugm-3,17,R ugm-3,18,R ugm-3,-0,R ugm-3 (TEOM FDMS),60,R ugm-3,4,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS)
01-01-2014,05:00,215.5,P deg,8.7,P ms-1,8.3,P degC,12,R ugm-3,41,R ugm-3,60,R ugm-3,38,R ugm-3,, ,215.5,P deg,8.7,P ms-1,8.3,P degC,1,R ugm-3,12,R ugm-3,14,R ugm-3,6,R ugm-3 (TEOM FDMS),65,R ugm-3,7,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS)
01-01-2014,06:00,209.5,P deg,9.6,P ms-1,8.5,P degC,11,R ugm-3,41,R ugm-3,57,R ugm-3,39,R ugm-3,, ,209.5,P deg,9.6,P ms-1,8.5,P degC,1,R ugm-3,12,R ugm-3,13,R ugm-3,-1,R ugm-3 (TEOM FDMS),66,R ugm-3,4,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS)
01-01-2014,07:00,202.3,P deg,10.0,P ms-1,8.5,P degC,11,R ugm-3,38,R ugm-3,54,R ugm-3,44,R ugm-3,, ,202.3,P deg,10.0,P ms-1,8.5,P degC,1,R ugm-3,18,R ugm-3,20,R ugm-3,2,R ugm-3 (TEOM FDMS),61,R ugm-3,6,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
01-01-2014,08:00,197.6,P deg,10.8,P ms-1,8.5,P degC,12,R ugm-3,39,R ugm-3,58,R ugm-3,43,R ugm-3,, ,197.6,P deg,10.8,P ms-1,8.5,P degC,1,R ugm-3,12,R ugm-3,14,R ugm-3,1,R ugm-3 (TEOM FDMS),66,R ugm-3,6,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS)
01-01-2014,09:00,192.3,P deg,11.3,P ms-1,8.4,P degC,11,R ugm-3,37,R ugm-3,54,R ugm-3,47,R ugm-3,, ,192.3,P deg,11.3,P ms-1,8.4,P degC,2,R ugm-3,15,R ugm-3,18,R ugm-3,2,R ugm-3 (TEOM FDMS),65,R ugm-3,8,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS)
01-01-2014,10:00,187.9,P deg,12.6,P ms-1,8.6,P degC,10,R ugm-3,35,R ugm-3,51,R ugm-3,53,R ugm-3,, ,187.9,P deg,12.6,P ms-1,8.6,P degC,2,R ugm-3,17,R ugm-3,20,R ugm-3,5,R ugm-3 (TEOM FDMS),72,R ugm-3,5,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS)
01-01-2014,11:00,183.6,P deg,14.1,P ms-1,8.6,P degC,11,R ugm-3,37,R ugm-3,54,R ugm-3,56,R ugm-3,, ,183.6,P deg,14.1,P ms-1,8.6,P degC,4,R ugm-3,23,R ugm-3,29,R ugm-3,-2,R ugm-3 (TEOM FDMS),73,R ugm-3,1,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
01-01-2014,12:00,184.8,P deg,15.8,P ms-1,8.8,P degC,15,R ugm-3,44,R ugm-3,66,R ugm-3,54,R ugm-3,, ,184.8,P deg,15.8,P ms-1,8.8,P degC,14,R ugm-3,35,R ugm-3,56,R ugm-3,-5,R ugm-3 (TEOM FDMS),59,R ugm-3,1,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS)
01-01-2014,13:00,189.1,P deg,16.6,P ms-1,9.1,P degC,19,R ugm-3,50,R ugm-3,78,R ugm-3,46,R ugm-3,, ,189.1,P deg,16.6,P ms-1,9.1,P degC,2,R ugm-3,12,R ugm-3,14,R ugm-3,-0,R ugm-3 (TEOM FDMS),76,R ugm-3,4,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
01-01-2014,14:00,194.3,P deg,16.8,P ms-1,9.5,P degC,19,R ugm-3,52,R ugm-3,82,R ugm-3,44,R ugm-3,, ,194.3,P deg,16.8,P ms-1,9.5,P degC,2,R ugm-3,14,R ugm-3,17,R ugm-3,-3,R ugm-3 (TEOM FDMS),71,R ugm-3,2,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS)
01-01-2014,15:00,200.8,P deg,16.8,P ms-1,9.9,P degC,18,R ugm-3,48,R ugm-3,77,R ugm-3,44,R ugm-3,, ,200.8,P deg,16.8,P ms-1,9.9,P degC,7,R ugm-3,24,R ugm-3,34,R ugm-3,-1,R ugm-3 (TEOM FDMS),61,R ugm-3,2,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
01-01-2014,16:00,203.3,P deg,15.1,P ms-1,10.3,P degC,17,R ugm-3,44,R ugm-3,70,R ugm-3,46,R ugm-3,, ,203.3,P deg,15.1,P ms-1,10.3,P degC,11,R ugm-3,31,R ugm-3,48,R ugm-3,-3,R ugm-3 (TEOM FDMS),56,R ugm-3,1,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
01-01-2014,17:00,204.5,P deg,14.4,P ms-1,10.6,P degC,17,R ugm-3,43,R ugm-3,70,R ugm-3,47,R ugm-3,, ,204.5,P deg,14.4,P ms-1,10.6,P degC,7,R ugm-3,23,R ugm-3,34,R ugm-3,6,R ugm-3 (TEOM FDMS),60,R ugm-3,4,R ugm-3 (TEOM FDMS),-2,R ugm-3 (TEOM FDMS)
01-01-2014,18:00,205.1,P deg,13.6,P ms-1,10.8,P degC,18,R ugm-3,44,R ugm-3,71,R ugm-3,44,R ugm-3,, ,205.1,P deg,13.6,P ms-1,10.8,P degC,7,R ugm-3,26,R ugm-3,36,R ugm-3,-1,R ugm-3 (TEOM FDMS),56,R ugm-3,5,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS)
01-01-2014,19:00,208.4,P deg,12.8,P ms-1,11.0,P degC,19,R ugm-3,48,R ugm-3,76,R ugm-3,39,R ugm-3,, ,208.4,P deg,12.8,P ms-1,11.0,P degC,13,R ugm-3,36,R ugm-3,56,R ugm-3,2,R ugm-3 (TEOM FDMS),47,R ugm-3,5,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
01-01-2014,20:00,210.5,P deg,12.4,P ms-1,11.1,P degC,17,R ugm-3,46,R ugm-3,72,R ugm-3,41,R ugm-3,, ,210.5,P deg,12.4,P ms-1,11.1,P degC,8,R ugm-3,29,R ugm-3,40,R ugm-3,-1,R ugm-3 (TEOM FDMS),50,R ugm-3,3,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
01-01-2014,21:00,213.7,P deg,11.9,P ms-1,11.0,P degC,15,R ugm-3,44,R ugm-3,67,R ugm-3,44,R ugm-3,, ,213.7,P deg,11.9,P ms-1,11.0,P degC,9,R ugm-3,36,R ugm-3,49,R ugm-3,1,R ugm-3 (TEOM FDMS),52,R ugm-3,5,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
01-01-2014,22:00,215.5,P deg,11.8,P ms-1,10.8,P degC,14,R ugm-3,51,R ugm-3,72,R ugm-3,45,R ugm-3,, ,215.5,P deg,11.8,P ms-1,10.8,P degC,10,R ugm-3,36,R ugm-3,51,R ugm-3,2,R ugm-3 (TEOM FDMS),58,R ugm-3,4,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
