Hourly measurement data supplied by UK-air on 25/7/2014
 All Data are GMT hour ending
Status: R=Ratified P=Provisional A=As supplied V=Validated S=Suspect
,,London Teddington,,,,,,,,,,,,,,London Teddington Bushy Park,,,,,,
Date,time,"Modelled Wind Direction",status/unit,"Modelled Wind Speed",status/unit,"Modelled Temperature",status/unit,"Nitric oxide",status/unit,"Nitrogen dioxide",status/unit,"Nitrogen oxides as nitrogen dioxide",status/unit,"Ozone",status/unit,"Non-volatile PM2.5 (Hourly measured)",status/unit,"PM2.5 particulate matter (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit

01-01-2014,01:00,215.0,P deg,8.3,P ms-1,7.8,P degC,0.2,R ugm-3,3.1,R ugm-3,3.3,R ugm-3,, ,, ,, ,, 
01-01-2014,02:00,217.6,P deg,7.8,P ms-1,8.5,P degC,0.4,R ugm-3,3.6,R ugm-3,4.2,R ugm-3,, ,, ,, ,, 
01-01-2014,03:00,220.9,P deg,7.6,P ms-1,8.8,P degC,0.4,R ugm-3,5.2,R ugm-3,5.7,R ugm-3,, ,, ,, ,, 
01-01-2014,04:00,220.1,P deg,7.2,P ms-1,8.9,P degC,0.5,R ugm-3,5.4,R ugm-3,6.2,R ugm-3,, ,, ,, ,, 
01-01-2014,05:00,216.8,P deg,7.4,P ms-1,9.0,P degC,0.3,R ugm-3,4.2,R ugm-3,4.7,R ugm-3,, ,, ,, ,, 
01-01-2014,06:00,210.3,P deg,7.8,P ms-1,9.1,P degC,0.6,R ugm-3,3.9,R ugm-3,4.9,R ugm-3,, ,, ,, ,, 
01-01-2014,07:00,203.8,P deg,8.0,P ms-1,9.0,P degC,0.3,R ugm-3,3.0,R ugm-3,3.5,R ugm-3,, ,, ,, ,, 
01-01-2014,08:00,199.8,P deg,8.8,P ms-1,9.0,P degC,0.1,R ugm-3,3.4,R ugm-3,3.6,R ugm-3,, ,, ,, ,, 
01-01-2014,09:00,194.3,P deg,8.9,P ms-1,8.9,P degC,0.2,R ugm-3,3.0,R ugm-3,3.3,R ugm-3,, ,, ,, ,, 
01-01-2014,10:00,190.7,P deg,10.0,P ms-1,9.2,P degC,0.2,R ugm-3,3.0,R ugm-3,3.3,R ugm-3,, ,, ,, ,, 
01-01-2014,11:00,185.9,P deg,11.2,P ms-1,9.2,P degC,0.2,R ugm-3,2.9,R ugm-3,3.2,R ugm-3,, ,, ,, ,, 
01-01-2014,12:00,186.0,P deg,12.6,P ms-1,9.3,P degC,0.1,R ugm-3,3.1,R ugm-3,3.2,R ugm-3,, ,, ,, ,, 
01-01-2014,13:00,190.0,P deg,13.3,P ms-1,9.6,P degC,0.5,R ugm-3,3.5,R ugm-3,4.4,R ugm-3,, ,, ,, ,, 
01-01-2014,14:00,195.1,P deg,13.5,P ms-1,10.0,P degC,0.2,R ugm-3,3.7,R ugm-3,4.0,R ugm-3,, ,, ,, ,, 
01-01-2014,15:00,200.8,P deg,13.4,P ms-1,10.3,P degC,0.1,R ugm-3,4.2,R ugm-3,4.4,R ugm-3,, ,, ,, ,, 
01-01-2014,16:00,203.5,P deg,12.0,P ms-1,10.6,P degC,0.4,R ugm-3,3.3,R ugm-3,3.9,R ugm-3,, ,, ,, ,, 
01-01-2014,17:00,205.2,P deg,11.8,P ms-1,10.9,P degC,0.2,R ugm-3,3.8,R ugm-3,4.1,R ugm-3,, ,, ,, ,, 
01-01-2014,18:00,206.3,P deg,11.2,P ms-1,11.1,P degC,0.1,R ugm-3,4.0,R ugm-3,4.2,R ugm-3,, ,, ,, ,, 
01-01-2014,19:00,210.4,P deg,10.5,P ms-1,11.4,P degC,0.4,R ugm-3,3.8,R ugm-3,4.4,R ugm-3,, ,, ,, ,, 
01-01-2014,20:00,213.4,P deg,10.1,P ms-1,11.5,P degC,0.4,R ugm-3,3.4,R ugm-3,4.1,R ugm-3,, ,, ,, ,, 
01-01-2014,21:00,215.9,P deg,9.8,P ms-1,11.5,P degC,0.2,R ugm-3,3.0,R ugm-3,3.4,R ugm-3,, ,, ,, ,, 
01-01-2014,22:00,218.4,P deg,9.6,P ms-1,11.4,P degC,0.000000,R ugm-3,2.8,R ugm-3,2.8,R ugm-3,, ,, ,, ,, 
01-01-2014,23:00,219.2,P deg,9.6,P ms-1,11.2,P degC,0.3,R ugm-3,3.0,R ugm-3,3.4,R ugm-3,, ,, ,, ,, 
01-01-2014,24:00,220.7,P deg,9.2,P ms-1,11.0,P degC,0.4,R ugm-3,2.7,R ugm-3,3.2,R ugm-3,, ,, ,, ,, 
02-01-2014,01:00,218.3,P deg,8.5,P ms-1,9.5,P degC,0.2,R ugm-3,2.2,R ugm-3,2.4,R ugm-3,, ,, ,, ,, 
02-01-2014,02:00,222.0,P deg,7.7,P ms-1,9.3,P degC,0.3,R ugm-3,2.1,R ugm-3,2.6,R ugm-3,, ,, ,, ,, 
02-01-2014,03:00,237.8,P deg,6.7,P ms-1,9.3,P degC,0.2,R ugm-3,1.9,R ugm-3,2.2,R ugm-3,, ,, ,, ,, 
02-01-2014,04:00,270.1,P deg,5.8,P ms-1,8.8,P degC,0.2,R ugm-3,2.1,R ugm-3,2.4,R ugm-3,, ,, ,, ,, 
02-01-2014,05:00,270.0,P deg,6.0,P ms-1,8.2,P degC,0.1,R ugm-3,2.8,R ugm-3,3.1,R ugm-3,, ,, ,, ,, 
02-01-2014,06:00,270.7,P deg,6.0,P ms-1,7.3,P degC,0.4,R ugm-3,3.7,R ugm-3,4.3,R ugm-3,, ,, ,, ,, 
