Hourly measurement data supplied by UK-air on 25/7/2014
 All Data are GMT hour ending
Status: R=Ratified P=Provisional A=As supplied V=Validated S=Suspect
,,Southwark A2 Old Kent Road,,,,,,,,,,,,,,
Date,time,"PM10 particulate matter (Hourly measured)",status/unit,"Modelled Wind Direction",status/unit,"Modelled Wind Speed",status/unit,"Modelled Temperature",status/unit,"Nitric oxide",status/unit,"Nitrogen dioxide",status/unit,"Nitrogen oxides as nitrogen dioxide",status/unit

01-01-2014,01:00,9,R ugm-3 (TEOM FDMS),218.4,P deg,6.7,P ms-1,7.4,P degC,3,R ugm-3,5,R ugm-3,10,R ugm-3
01-01-2014,02:00,9,R ugm-3 (TEOM FDMS),220.5,P deg,6.5,P ms-1,8.0,P degC,4,R ugm-3,9,R ugm-3,15,R ugm-3
01-01-2014,03:00,6,R ugm-3 (TEOM FDMS),223.2,P deg,6.3,P ms-1,8.7,P degC,5,R ugm-3,8,R ugm-3,16,R ugm-3
01-01-2014,04:00,9,R ugm-3 (TEOM FDMS),222.1,P deg,6.0,P ms-1,8.8,P degC,4,R ugm-3,9,R ugm-3,14,R ugm-3
01-01-2014,05:00,13,R ugm-3 (TEOM FDMS),219.1,P deg,6.0,P ms-1,8.9,P degC,4,R ugm-3,8,R ugm-3,14,R ugm-3
01-01-2014,06:00,15,R ugm-3 (TEOM FDMS),212.7,P deg,6.0,P ms-1,8.9,P degC,3,R ugm-3,6,R ugm-3,12,R ugm-3
01-01-2014,07:00,3,R ugm-3 (TEOM FDMS),205.6,P deg,6.1,P ms-1,8.8,P degC,4,R ugm-3,6,R ugm-3,12,R ugm-3
01-01-2014,08:00,17,R ugm-3 (TEOM FDMS),202.7,P deg,6.5,P ms-1,8.9,P degC,3,R ugm-3,4,R ugm-3,9,R ugm-3
01-01-2014,09:00,15,R ugm-3 (TEOM FDMS),196.3,P deg,6.7,P ms-1,8.7,P degC,3,R ugm-3,3,R ugm-3,7,R ugm-3
01-01-2014,10:00,25,R ugm-3 (TEOM FDMS),191.4,P deg,7.3,P ms-1,9.2,P degC,2,R ugm-3,2,R ugm-3,6,R ugm-3
01-01-2014,11:00,8,R ugm-3 (TEOM FDMS),188.7,P deg,8.4,P ms-1,9.3,P degC,2,R ugm-3,1,R ugm-3,5,R ugm-3
