Hourly measurement data supplied by UK-air on 25/7/2014
 All Data are GMT hour ending
Status: R=Ratified P=Provisional A=As supplied V=Validated S=Suspect
,,Tower Hamlets Roadside,,,,,,,,,,,,
Date,time,"Modelled Wind Direction",status/unit,"Modelled Wind Speed",status/unit,"Modelled Temperature",status/unit,"Nitric oxide",status/unit,"Nitrogen dioxide",status/unit,"Nitrogen oxides as nitrogen dioxide",status/unit

01-01-2014,01:00,217.1,P deg,6.8,P ms-1,7.3,P degC,2,P ugm-3,12,P ugm-3,16,P ugm-3
01-01-2014,02:00,219.5,P deg,6.9,P ms-1,8.2,P degC,4,P ugm-3,23,P ugm-3,28,P ugm-3
01-01-2014,03:00,223.0,P deg,6.7,P ms-1,8.8,P degC,3,P ugm-3,17,P ugm-3,21,P ugm-3
01-01-2014,04:00,221.8,P deg,6.3,P ms-1,8.9,P degC,3,P ugm-3,20,P ugm-3,25,P ugm-3
01-01-2014,05:00,218.8,P deg,6.2,P ms-1,9.0,P degC,2,P ugm-3,17,P ugm-3,21,P ugm-3
01-01-2014,06:00,211.4,P deg,6.2,P ms-1,9.0,P degC,2,P ugm-3,13,P ugm-3,17,P ugm-3
01-01-2014,07:00,204.5,P deg,6.3,P ms-1,9.0,P degC,3,P ugm-3,15,P ugm-3,19,P ugm-3
01-01-2014,08:00,200.8,P deg,6.5,P ms-1,9.0,P degC,1,P ugm-3,19,P ugm-3,21,P ugm-3
01-01-2014,09:00,195.9,P deg,7.0,P ms-1,9.0,P degC,2,P ugm-3,17,P ugm-3,20,P ugm-3
01-01-2014,10:00,190.1,P deg,7.4,P ms-1,9.3,P degC,2,P ugm-3,13,P ugm-3,16,P ugm-3
01-01-2014,11:00,187.9,P deg,8.8,P ms-1,9.4,P degC,1,P ugm-3,12,P ugm-3,14,P ugm-3
01-01-2014,12:00,185.6,P deg,9.7,P ms-1,9.3,P degC,2,P ugm-3,9,P ugm-3,12,P ugm-3
01-01-2014,13:00,188.6,P deg,10.3,P ms-1,9.6,P degC,2,P ugm-3,10,P ugm-3,13,P ugm-3
01-01-2014,14:00,194.8,P deg,10.6,P ms-1,10.0,P degC,2,P ugm-3,12,P ugm-3,15,P ugm-3
01-01-2014,15:00,199.8,P deg,10.6,P ms-1,10.3,P degC,2,P ugm-3,16,P ugm-3,20,P ugm-3
01-01-2014,16:00,204.4,P deg,10.2,P ms-1,10.5,P degC,2,P ugm-3,14,P ugm-3,17,P ugm-3
01-01-2014,17:00,205.9,P deg,9.6,P ms-1,10.7,P degC,2,P ugm-3,15,P ugm-3,19,P ugm-3
01-01-2014,18:00,207.5,P deg,9.4,P ms-1,10.9,P degC,3,P ugm-3,15,P ugm-3,19,P ugm-3
01-01-2014,19:00,211.5,P deg,8.8,P ms-1,11.3,P degC,2,P ugm-3,14,P ugm-3,18,P ugm-3
01-01-2014,20:00,214.8,P deg,8.5,P ms-1,11.5,P degC,3,P ugm-3,13,P ugm-3,18,P ugm-3
01-01-2014,21:00,217.0,P deg,8.4,P ms-1,11.6,P degC,3,P ugm-3,13,P ugm-3,18,P ugm-3
01-01-2014,22:00,220.1,P deg,8.3,P ms-1,11.5,P degC,2,P ugm-3,17,P ugm-3,21,P ugm-3
01-01-2014,23:00,220.6,P deg,8.2,P ms-1,11.3,P degC,2,P ugm-3,13,P ugm-3,15,P ugm-3
